,report,institute,category
2,"Pak, mohon tindaklanjuti laporan masyarakat yang banjir di kantor pdam tirtanadi yg beralamat di jl. sunggal pekan no.1a, sunggal, medan, kota medan, sumatera utara",Dinas Pekerjaan Umum Kota Medan,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
3,"Pak, mohon tindaklanjuti laporan masyarakat yang banjir di Jl. Klambir V",Dinas Pekerjaan Umum Kota Medan,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Darurat jalan,  akses terputus saat banjir menggangu lalu loh ntas dan aktivitas 3 kedusunan terutama anak sekolah,,  frekuensi banjir 2-3x perminggu,  durasi banjir 24-48 jam,  paniang akses terputus +- 30 m kedalaman air saat banjir 2 m,  butuh jalan ditinggikan ,",Dinas Pekerjaan Umum Kabupaten Sukabumi,  Topik Lainnya
5,"Dear pemerintah kota bekasi dan dinas pupr.
.
.
proyek underpass bulak kapal merugikan warga perumahan margahayu, pasalnya saluran air utama perumahan margahayu telah dipersempit cukup signifikan. apalagi sekarang sudah memasuki musim hujan yang mulai mengguyur kota bekasi sejak beberapa hari, turut menimbulkan bencana. kira-kira selasa (24/11) untuk pertama kalinya hujan dengan intensitas menengah-tinggi selama 1 jam membuat air menggenang di jalanan (banjir). hal ini tidak biasa terjadi (1jam loh.., biasanya butuh waktu berjam-jam), tapi setelah ditelaah biang masalahnya adalah saluran air utama perumahan margahayu yang telah dipersempit oleh pelaksana proyek underpass bulak kapal. 
.
ini benar-benar meresahkan warga, karena mau seberapa besar lagi bencana yang akan kami hadapi? logikanya, jika sekarang 1 jam hujan saja sudah menggenang, seberapa besar ke depannya? seharusnya pemerintah bisa melakukan mitigasi bencana (pembangunan fisik seperti pelebaran saluran), bukan bikin bencana makin besar dengan penyempitan saluran. saya mengharapkan pemkot bekasi dan pupr agar serius menangani masalah ini. jadikan pembangunan yang tidak merugikan rakyat dan tetap memperhatikan dampak lingkungan. seharusnya saluran air utama diperlebar, bukan dipersempit. 
.
.
dari permasalahan ini, saya jadi bertanya apakah amdal dan meminta persetujuan warga telah dilakukan dengan 'benar'. karena secara logika jika sosialisasi dilakukan dengan benar, tidak mungkin kami merasa 'kecolongan' dengan tiba-tiba saluran air dipersempit.. saya dan warga menunggu feedback dari masalah ini.
.
.
terima kasih",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Lainnya terkait Infrastruktur Jalan
6,"Mohon parit jalur simpang selambo ke arah segitiga menteng panglima denai sebelah kanan dikeruk kembali, kalau hujan gang sekitar daerah itu kebanjiran.",Dinas Pekerjaan Umum Kota Medan,  Infrastruktur Pendukung
7,"Malam, saya andrew 
warga jalan. dairi no 28 kec. medan barat kode pos 20117.
saya mau bertanya, tentang pengerjaan drainase yang ada di jln. dairi kota medan, kec medan barat. apakah pengerjaan hanya sekitar 35m dari simpang jln karya dame ?
lihat dong, jln dairi juga rentan banjir, masa pengerjaan drainase hanya segitu doang ... 
tolong dong, penjelasan nya 


atau hanya segitu doang yg di list pengerjaan drainase nya? 
sekian",Dinas Pekerjaan Umum Kota Medan,  Infrastruktur Pendukung
8,"Laporhendi selamat pagi pak wali, saya purnomo warga kelurahan peterongan. Saat ini saya ingin menanyakan, kapankah rumah2 yg berdiri di atas tanah irigasi di sepanjang bantaran sungai kali banjir kanal dan di wilayah rw 006 kelurahan peterongan bisa di relokasi ke tempat yg lebih baik. Agar tidak menutupakses para pemilik rumah/tanah yg bersertifikat?",Kecamatan Semarang Selatan Kota Semarang,  Topik Lainnya
9,"Saya hendak melaporkan kegiatan pelanggaran psbb / pelanggaran protokol kesehatan psbb dki yang terjadi di sepanjang bkt kanal banjir timur wilayah yurisdiksi kecamatan duren sawit yang terjadi pada setiap minggu pagi di sepanjang banjir kanal timur (bkt) kecamatan duren sawit yang sangat meresahkan wargasekitar dan memicu polemik terkait situasional instabilitas negara dan para tokohnya saat ini.
saya berharap agar bisa di tertibkannya para pedagang danpengunjung bkt kecamatan duren sawit. perlu diketahui juga bahwa terjadi pungutan liar yang mengatasnamakan premanisme setempat yang dibungkus dengan wajah tokoh pemuda selaku pengelola para pedagang bkt minggu pagi.",Pemprov DKI 2,  Jaga Jarak Aman (Social Distancing)
0,"Dear pemerintah kota bekasi dan dinas pupr...proyek underpass bulak kapal merugikan warga perumahan margahayu, pasalnya saluran air utama perumahan margahayu telah dipersempit cukup signifikan. apalagi sekarang sudah memasuki musim hujan yang mulai mengguyur kota bekasi sejak beberapa hari, turut menimbulkan bencana. kira-kira selasa (24/11) untuk pertama kalinya hujan dengan intensitas menengah-tinggi selama 1 jam membuat air menggenang di jalanan (banjir). hal ini tidak biasa terjadi (1jam loh.., biasanya butuh waktu berjam-jam), tapi setelah ditelaah biang masalahnya adalah saluran air utama perumahan margahayu yang telah dipersempit oleh pelaksana proyek underpass bulak kapal. .ini benar-benar meresahkan warga, karena mau seberapa besar lagi bencana yang akan kami hadapi? logikanya, jika sekarang 1 jam hujan saja sudah menggenang, seberapa besar ke depannya? seharusnya pemerintah bisa melakukan mitigasi bencana (pembangunan fisik seperti pelebaran saluran), bukan bikin bencana makin besar dengan penyempitan saluran. saya mengharapkan pemkot bekasi dan pupr agar serius menangani masalah ini. jadikan pembangunan yang tidak merugikan rakyat dan tetap memperhatikan dampak lingkungan. seharusnya saluran air utama diperlebar, bukan dipersempit. ..dari permasalahan ini, saya jadi bertanya apakah amdal dan meminta persetujuan warga telah dilakukan dengan 'benar'. karena secara logika jika sosialisasi dilakukan dengan benar, tidak mungkin kami merasa 'kecolongan' dengan tiba-tiba saluran air dipersempit.. saya dan warga menunggu feedback dari masalah ini...terima kasih",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
1,"Selamat siang,
saya ingin menanyakan mengapa di kawasan saya yaitu rw 12 ,pegangsaan dua,kelapa gading dan sekelilingnya,yang sudah terendam banjir bertahun tahun{pada saat banjir} tidak dilakukan suatu penataan infrastruktur yang komperhensif sehingga warga wilayah setempat tidak melakukan upaya sendiri sendiri yang tentunya mengakibatkan tinggi rendah atau titik air ngumpul yang sangat merugikan warga di tempat yang terendah.mohon petunjuk dan arahannya.
wassalam terimakasih.",Pemprov DKI 2,  Agama
2,"Laporhendi perum plamongan hijau kota semarang, rabu malam 02/12/20 banjir parah. pompa polder belum nyala. tolong dinyalakan",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
3,"Kepada yth pemda dki,

dengan hormat mohon bantuan agar dapat membenahi tepi jalan bima rt 011/009 menuju jalan budi raya. di belokan tersebut terlihat selokan yang longsor/hancur dan menyebabkan air hujan tidak dapat mengalir dengan baik dan menyebabkan banjir. (foto terlampir)

selain itu, di depannya ada selokan yang di tengahnya terdapat saluran yang mengalirkan air dari sungai/kali seketaris. (foto terlampir dilingkari merah).

pada saat hujan datang, saluran inilah yang mengalirkan air sungai/kali sekretaris dan sampah dengan deras ke jalan bima. oleh karena itu cepat sekali terdapat genangan di jalan bima dan akhirnya banjir.

selain itu, ada yang membongkar bendungan kami, sedangkan selokan air kami kecil dan lebih rendah dari bantaran kali.
sedangkan selokan yang berfungsi hanya di sisi jalan bima. sisi jl.arjuna selokan tersebut tidak berfungsi.

dengan kondisi ini, mohon perhatian dan bantuannya agar kami semua dapat terhindar dari musibah banjir yang sudah di depan mata.

terima kasih.

pengurus rt011/009",Pemprov DKI 2,  Bendungan
4,"Selamat sore.
kami warga dari rt 02/04. kelurahan batu ampar . kecamatan kramat jati. jakarta timur.
ingin mengadukan masalah di wilayah kami tidak ada drainase sama sekali, sehingga jika hujan akan mengalami banjir. sudah sering disampaikan keluhan kami, pada rt, kelurahan dan diteruskan pada dinas pekerjaan umum. tetapi belum ada tanggapan dan realisasi. tolong untuk dinas terkait untuk dibuatkan drainase antara di jl kekeran , antara jl asem dan jl bambu kuning. ini tahun 2020, harusnya drainase itu tahun 1975 sdh dibangun.",Direktorat Jenderal Bina Marga,  Infrastruktur Jalan
5,"Pemkot depok saya mohon bantuannya kepada dinas pekerjaan umum agar segera turun tangan untuk memperbaiki saluran air yg rusak sehingga air tidak bisa mengalir dan menggenang di depan apotek generik, adapun yang bermasalah selokan di samping kami yaitu di jl. lesung iv kejayaan depok. saya sudah koordinasi dengan rt setempat namun ada masalah dengan warga yg tidak mau kooperatif. tolong ya ini sangat mengganggub  kami karena banyak pelanggan kami yang tidak nyaman bahkan tidak mau datang karena halaman kami seperti got dengan air yg kotor. mohon bantuannya",Dinas Pekerjaan Umum dan Penataan Ruang Kota Depok,  Infrastruktur Jalan
6,"Selokan mampet di jl. lesung iv kejayaan depok mengakibatkan sekitar gang dan depan apotek generik kejayaan selalu banjir seperti got sangat mengganggu customer yg datang, tolong pemerintah depok segera di bantu untuk perbaikannya. hal ini sudah terjadi sejak 2 bulan lalu dan sekarang semakin parah namun belum ada tindak lanjut. mohon segera ya",Dinas Pekerjaan Umum dan Penataan Ruang Kota Depok,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
7,"Assalamualaikum, mohon pak / bu untuk penambalan jalan berlubang dari raya morowudi sampai dadap kuning. karna lubang2 nya dalam sehingga rawan terjadi kecelakaan, terima kasih banyak atas perhatiannya, wassalamualaikum. :)

dan juga sekarang sudah memasuki musim penghujan kembali, apakah sudah ada realisasi normalisasi kali lamong, agar tiap tahun tdk kebanjiran yg parah seperti tahun ini 2 hari ga surut2 banjirnya. semoga pemkab gresik, pemprov jatim, dan pemerintah pusat bisa bersinergi agar bisa merealisasikan normalisasi kali lamong..",Direktorat Jenderal Sumber Daya Air,  Lainnya terkait Infrastruktur Pendukung
8,"Kepada pdam bojonegoro selaku perusahaan air bersih di bojonegoro. kami warga gendong sidomulyo selaku pelanggan pdam mengeluhkan distribusi air ke wilayah kami sudah 3 minggu ini tak kunjung mengalir (mati) kami menghubungi operator air katanya sumber airnya kebanjiran (keruh) dan tidak ada suling airnya. kami mohon kepada pihak pdam bojonegoro untuk segera memasangkan suling air untuk distribusia air ke wilayah kami, karena kami warga gendong sidomulyo dan sekitarnya sangat memerlukan air pdam tersebut, masak tiap bulan disuruh bayar tapi  airnya gak keluar. mohon untuk segera di realisasikan!!!",PDAM Kabupaten Bojonegoro,  Layanan Air Minum
9,"Saya mengeluhkan adanya tumpukan sampah kayu menggunung setinggi 3 meter kurang lebih di pinggir kali bekasi, jalan mayor hasibuan, tepatnya di bawah jembatan bendung bekasi, bekasi timur. hal itu bikin banjir, mampet dan kotor.

mohon pihak terkait segera membersihkannya. terima kasih",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Topik Lainnya
0,"Selokan yg kanan tolong ditutup. karena berbahaya banyak yang hampir jatuh ke selokan wkt banjir. dan selokan bagian kiri sudah ditutup tapi yang sebelah kanan belum ditutup.

lokasi:
https://goo.gl/maps/kdbryo7ts4hfeace9
jl. taman permata indah 2 no.34-36, rt.14/rw.15, pejagalan, kec. penjaringan, kota jkt utara, daerah khusus ibukota jakarta 14450

foto terlampir.",Pemprov DKI 2,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
1,"Kepada bpbd kabupaten tabalong , banyu di bagian hulu lwn hilir mulai naik tarus,,mohon untuk bersiaga menangani warga warga yg terdampak banjir, untuk membantu pengungsian , terimakasih",Badan Penanggulangan Bencana Daerah Kabupaten Tabalong,  Banjir
2,"Assalamualaikum wr. wb.

salam lapor!

saya warga komp. kopro banjir rt. 012 rw. 006 kel. bendungan hilir kec. tanah abang, jakarta pusat, sekaligus pecinta kucing liar (apapun jenisnya), saat ini saya dibantu seorang anak kos saya mengurus beberapa kucing liar yang singgah di rumah. mulai dari urusan pakan, steril atau kebiri, dan perawatan dokter pabila sakit. namun ada beberapa tetangga bahkan ketua rt secara sarkas dan tidak terpuji menuduh kami seolah membuat lingkungan ini menjadi kotor dengan hadirnya kucing2 liar ini. padahal sepatutnya masalah ini menjadi tanggung jawab bersama bukan hanya kami, pecinta hewan khususnya kucing.

mohon tindak tegas dan mohon solusi nya 
agar kucing2 liar ini menjadi sehat dan memiliki tempat tinggal layak sehingga tidak menjadi momok yang menjijikkan bagi warga sekitar.

terima kasih atas perhatiannya
-warga kopro banjir rt.012 rw.006-",Pemprov DKI 2,  Topik Lainnya
3,"Saya warga banjarmasin, ingin melaporkan seringnya terjadi banjir di komplek saya, yaitu berlokasi di jl. Yos sudarso, komplek air mantan, gang 66, blok a, no. 39, rt. 031/003, telaga biru, banjarmasin barat. Sebelumnya ada kegiatan pengaspalan di seluruh jalan komplek, kami meminta dibuatkan proyek drainase  supaya tidak banjir lagi. Terimakasih.",Dinas Pekerjaan Umum dan Perumahan Rakyat,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Selamat malam pak, perkenalkan saya freddy warga tasikmalaya kota yang tinggal di jalan tentara pelajar gang jayarasa, kelurahan empangsari kecamatan tawang. saya hanya ingin bertanya kapan jalan gang rumah saya diperbaiki, jujur rt di wilayah kami sangat tidak aktif dalam menyampaikan aspirasi ke pemerintah. yang saya heran gang gang lain di wilayah kami sudah teraspal dengan baik, hanya gang kami saja yang tidak sama sekali diperbaiki padahal kondisinya sudah sangat memprihatinkan belum lagi musim hujan, gang kami selalu banjir. mohon agar pemerintah kota tasikmalaya bisa mendengar langsung aspirasi dari kami pak.. terimakasih banyak pak",DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,  Infrastruktur Jalan
5,"Banjir jalan raya binong, akses perumahan purinusa karawaci rw005/rt005 ( blok a-b ) kampung galuga kelurahan binong kecamatan curug kabupaten tangerang.",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  Infrastruktur Pendukung
6,"Kami berharap pemerintah provinsi banten, kabupaten tangerang, kecamatan curug, kelurahan binong. dapat mengatasi banjir yang terjadi di wilayah kami khususnya rw 007, kelurahan binong. 

setiap tahunnya banjir semakin cepat terjadi, padahal air hujan yang turun tidak terlalu besar. kami berharap pemerintah dapat mengambil tindakan cepat, salah satunya melakukan pelebaran dan normalisasi aliran air.",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
7,"Selamat siang,

mohon bantuannya terkait banjir yg selalu datang jika sudah hujan lebat di daerah depan stasiun cibadak. hal ini disebabkan oleh saluran air mampet/ditutup sehingga air meluap dan banjir. hal ini sudah sering terjadi setiap tahun di musim penghujan namun tidak pernah ada tindak lanjut dari pemerintah setempat. mohon tindak lanjut kejadian ini. terima kasih",Dinas Pekerjaan Umum Kabupaten Sukabumi,  Topik Lainnya
8,"Kami masyarakat jln lebak murni rt 021 rw 09 kec sako menyampaikan bbrp keberatan atas dampak yg dilakuka pengembang perumahan dan penimbunan saluran air yg dilakukan pd awal tahun 2020. adapun bbrp keberatan kami di antaranya.
1.keberatan atas upaya perusakan tatanan air di tengah saat ini kita masuk dlm musim penghujan dgn ancaman banjir semakin besardan cepat di tempat kami. melihat perlakuan pengembangan perumahan ini yg tdk mengindahkan kepentingan bersama penting unk pemerintah kota palembang unk meninjau kembali perizinan pembangunan perumahan yg pada tahapan pembangunannya mengabaikan tata kelola air.
2. perumahan yg telah di bangun memiliki talang hujan yg pembuangannya memasuki halaman rumah warga. hal ini menunjukkan bahwa upaya yg dilakukan pengembang tdk memperdulikan masyarakat sekitar dan lingkungan,hanya berupaya mencari keuntungan pribadi sebesar2nya.
3. pembangunan perumahan saat ini berupaya unk membangun diluar batas kepemilikannya.kami sangat berharap pemerintah dapat melakukan penyelidikan ataupun proses pembangunan atas kewajiban2 pengembang unk mengedepankan kepentingan bersama dan tidak mengambil hak orang lain.
4.selama proses pembangunan ini bbrp pekarangan tergenanf air dgn wkt yg lama sehingga membuat bbrp pohon mati.
demikian  surat pengaduan kami. kami sangat memohon untuk segera di tindak lanjuti. terima kasih.",Dinas PUPR Kota Palembang,  Topik Lainnya
9,"Selamat pagi indonesiaku, sedih  banget kalau lihat hal yang tak wajar seperti ini, kalau ada salah satu warga dengan sengaja membongkar pinggiran jembatan jalan untuk kepentingan pribadinya, tidak hanya itu orang tersebut  akan membangun bangunan liar diatas aliran air. sudah kebayang dampaknya: 
1. kalau terbangun bangunan liar tersebut pastinya tumpukan sampah semakin banyak
2. banjir 
3. menyalahi aturan.

apakah kita masyarakat akan diam saja? kalau bukan kita masyarakat yang saling membantu pemerintah agar tercipta lingkungan yang nyaman, bersih, bebas sampah dan bangunan liar. lalu siapa lagi? 

dalam hal ini beberapa warga sudah lapor ke laras online pemkab.bogor, dan ke pak rt, pak rt pun sudah laporkan ke  jajaran atasnya, usut demi usut dari sejak awal september 2020 belum ada pergerakan yg menyelesaikan ini. hingga sampai hari ini informasi  pembangunan liar diatas aliran air tersebut terus berjalan. yang membangun bangunan liar ini menurut informasi yang di dapat beliau adalah tokoh masyarakat setempat dan juga merupakan mantan rt sebelumnya. sehingga banyak yang membiarkan karna tidak enak dan sebagian memilih diam saja. mohon maaf sepengetahuan saya tokoh masyarakat adalah yang memberikan contoh baik untuk warga lainnya. apakah membangun bangunan liar untuk sebuah kios guna kepentingan pribadi diatas aliran air adalah contoh yang baik? 


sebagian warga terganggu karena adanya penjebolan tembok milik warga lainnya, tanpa ijin dimana penjebolan tersebut akan digunakan sebagai penyangga bangunan liar. 
makin miris bahwa masih ada hal2 demikian, ini namanya mengzolimi orang lain. 


sebagai warga yang ingin lingkungan bersih  terawat sepatutnya kita saling bantu pemerintah untuk menginformasikan hal2 yang tak wajar seperti vidio dan foto yg akan saya kirimkan. agar lingkungan terus dibenahi dan tercipta kenyamanan. untuk alamat kejadian : cluster griya mutiara arrayyan, rt 01 rw 11 jalan lapangan siaga, kec. bojonggede, kel. bojonggede, kab. bogor 16922",Satuan Polisi Pamong Praja,"  Lainnya terkait Ketenteraman, Ketertiban Umum, dan Pelindungan Masyarakat"
0,"Laporhendi perum plamongan hijau kota semarang, jumat malam 20/11/20 hujan deras & sudah banjir. pompa polder belum nyala. tolong dinyalakan. tks",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
1,"Ijin melaporkan kondisi saluran air dan gorong-gorong di jalan h. latief 4 yang menuju saluran utama di jalan rawa mulya rt.08/rw03 kel. mustika jaya saat ini sudah penuh sampah dan endapan lumpur, ditambah banyak pelaku usaha di jalan rawa mulya  yang menutup saluran air tanpa lubang kontrol sehingga sulit untuk perawatannya
mohon segera bisa ditindaklanjuti karena sudah masuk musim penghujan dan berpotensi banjir",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Topik Lainnya
2,"Saya warga Kampung Dok yang tinggal di jalan Ikan Cumi-cumi RW. 06 Kelurahan Mayangan Kecamatan Mayangan. Kurang lebih 252 Kepala Keluarga merasa terganggu terutama masalah kesehatan akibat pencemaran udara yang ditimbulkan dari pabrik penggolahan kayu PT.KTI yang beroperasi sejak 2007. Berdasarkan temuan  tahun 2016, angka 0,52 telah mencapai ambang batas pencemaran yang di kaji oleh Kecamatan Mayangan yang diperbaharui setiap 6 bulan sekali. Hal ini menunjukkan bahwa warga tidak layak hidup di lingkungan seperti ini, apalagi bila musim penghujan warga sering mengeluh rumahnya kebanjiran akibat pembuangan air hujan telah menyempit. Walaupun ada insiatif pemerintah sejak tahun 2009 dan memasukkan Kampung Dok dalam daftar kampung yang tak layak huni dan perlu direlokasi. Walikota beserta Wakinya juga teah melakukan kunjungan ke lokasi tersebut tapi sampai sekarang hanya dijadikan kajian dan wacana saja. Harus sampai kapan kami harus menerima kenyataan pahit bila tiap hari kami harus menghirup udara yang tercemar dan kebanjiran tiap musim hujan. Mohon perhatiannya dan kami sampaikan terimakasih.",Badan Perencanaan Pembangunan Daerah Penelitian dan Pengembangan Kota Probolinggo,  Topik Lainnya
3,"Selamat siang, saya mewakili seluruh warga yang tinggal dan beraktivitas di kawasan jl. agus salim khususnya area rm. ayam goreng remaja - rest. cita rasa ingin menyampaikan bahwa adanya pekerjaan penambalan yang dilaksanakan di jl. agus salim ini menyebabkan penyumbatan drainase jalan yang mengakibatkan terjadinya genangan air hingga banjir di kawasan tersebut. laporan ini kami sampaikan agar adanya pengambilan tindakan untuk menyelesaikan masalah penyumbatan saluran drainase ini akibat pekerjaan penambalan tersebut. demikian laporan yang bisa saya sampaikan, saya ucapkan terima kasih atas perhatiannya dan mohon maaf jika ada salah kata.",Dinas Pekerjaan Umum dan Penataan Ruang Kota Pontianak,  Infrastruktur Jalan
4,"Yth. bapak ibu,
semoga selalu sehat dan dalam lindungan-nya, kami sangat memohon bantuan bapak/ ibu. 
sampai sekarang belum ada kabar lagi mengenai jalan gang kami yang banjir, air tergenang karena ada pembangunan komplek, dan tidak adanya saluran air.
saya sudah lapor, di tanggapi, sampai tertutup otomatis, tidak ada fu lagi sama sekali. nomor saya aktif tapi tidak dihubungi sama sekali, kami mohon dengan sangat..
akhir salam, semoga bapak/ ibu dimudahkan pekerjaannya, oleh allah, dan dibalikkan hatinya untuk mau membantu kami warga jalan patriot gg perjaga, aamiin",Dinas Pekerjaan Umum Kota Medan,  Infrastruktur Jalan
5,"Bapa dan ibu yg terhormat ...ini saya warna jatake mau lapor di depan pertigaan jl.industri km.7 seberang pom bensin jatake got nya suka mampet pak..,sekira nya mohon di bantu di gali atau di bersihkan pak.",Pemerintah Kota Tangerang,  Bendungan
6,"Yth gubernur jawa tengah

mohon dapat diprogramkan pengendalian banjir di wilayah kecamatan sidareja, kec gandrungmangu dan sekitarnya (kabupaten cilacap), karena sudah menjadi langganan banjir sejak tahun 90an tanpa ada perubahan/perbaikan, serta tidak pernah ada program pengendalian banjir yang cukup masif selama 20 tahun.

salam
perdana",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Cilacap,  Banjir
7,"Babnya drainase depan terhambat alirannya krn tdk boleh masuk ke aliran utama oleh warga pulesari.
mohon bs dibantu & difasilitasi oleh pemkotlapor_hendi assalamualaikum, pak hendi kami warga tembalang pesona asri terutama blok f,d & seputar pintu masuk selalu kebanjiran saat hujan deras. penye",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
8,"Arah turunan menuju pom bensin shell, jatibening selokannya sering mampet. bila tidak hujan saja, air selokan mengalir ke jalanan. akhirnya aspalpun rusak. mohon piha terkait untuk memperbaiki lokasi yang dimaksud. terima kasih",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Infrastruktur Jalan
9,"Masarakat pelanggan banjir dsn. legok rt. 001/012~01 kab. pasuruan nkri 67155 menghendaki percepatan pavingisasi jalan, saya sendiri mengusulkan nama jalan tsb jl. h.m. soeharto banser djoefri al baihaki, benteng 'ulama. 3514121606520008",Kecamatan Gempol Kab. Pasuruan,  Infrastruktur Jalan
0,"Saya warga rt 04 rw 01 cibeber - cimahi selatan yang terdampak dan bersinggungan secara langsung dengan proyek terowongan kcic dan juga proyek pembukaan jalan baru untuk mengalihkan jalan yang saat ini melintasi proyek kcic. sebagai warga yang terdampak secara langsung saya tidak pernah menerima sosialisasi dan diminta menandatangani surat persetujuan untuk pelaksanaan proyek, penandatangan surat persetujuan ternyata di buat oleh warga yang jauh dari proyek. kegitatan proyek jalan baru yang dimulai dari bulan september menyebabkan kerugian baik materil dan non materil diantaranya :
1. polusi suara dan debu dari alat-alat berat yang membuka lahan jalan.
2. jika hujan terjadi banjir lumpur tanah dan jalanan menjadi licin sehingga pengguna jalan banyak yang mengalami kecelakaan.
3. alat-alat berat seperti bulldozer, beko dan vibro roller melintasi rumah dan selama pelaksanaan proyek mengakibatkan getaran yang hebat secara terus menerus sehingga menyebabkan kerusakan rumah warga.
4. pembuatan saluran air tidak menggunakan pondasi dan rangka besi pada saat datang musim hujan benteng saluran air sudah retak.
5. dibulan november pihak kcic melakukan blasting atau pemboman di terowongan yang menambah getaran 
kami sudah melaporkan hal ini baik ke pihak rt/rw maupun ke pimpinan proyek, harapan kami ada ganti rugi untuk kerusakan yang di timbulkan dari pelaksanaan jalan namun sampai saat ini tidak ada kepastian dari pihak proyek. untuk lampiran bukti kerusakan rumah dan video banjir juga getaran kami share di link berikut: https://drive.google.com/folderview?id=1fs9-wgdx0vojdvhrwiyvwg1sesd12l9n",DISKOMINFO KOTA CIMAHI,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
1,A berakibat pada permukiman masyarakat yang akan selalu banjir bila hujan.mohon amdal untuk mega proyek tsb dikaji ulang.nik.6112090303800001.proyek other ringroad dikec.sui.kakap kalimantan barat mulai berjalan.namun disayangkan menyumbat saluran drainase yang pada akhirny,Dinas Pekerjaan Umum dan Penataan Ruang Perumahan Rakyat dan Kawasan Pemukiman Kabupaten Kubu Raya,  Infrastruktur Jalan
2,"Tolong parit diantara simpang jl.selambo dan segitiga menteng, medan amplas dikeruk, tidak pernah ada aksi pengerukan disitu, apa tidak ada laporan gang sekitar jalan itu kebanjiran walau hujan kecil ?",Dinas Pekerjaan Umum Kota Medan,  Infrastruktur Pendukung
3,"Pada hari minggu, 8 november 2020,di komplek vila norin, rt01/04 ciganjur, cipedak, jagakarsa, jakarta selatan, saat hujan deras kurang lebih 30 menit terjadi banjir kembali. daerah yang lebih rendah dari kami malah tidak kebanjiran. karena adanya dinding sungai yang lebih tinggi, namun bagi kami dinding tersebut menahan air dilingkungan kami. lingkungan kami seperti kolam kalau banjir. kami mohon bisa segera dilakukan realisasi perbaikan drainase dilingkungan kami supaya tidak terjadi banjir lagi. ini pengaduan saya yang ke 5 kali. pelaporan ini penting untuk update tentang kondisi terkini tentang banjir. atas perhatiannya terimakasih",Pemprov DKI 2,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Penyempitan saluran dari kampung yg lebih tinggi saluran air kecil dan cetek, apabila setiap hujan air dari daratan yg lebih tinggi turun ke tampat kami yg mayoritas dataran nya lebih rendah sehingga air dari mana saya tertampung di tampat kami
Sehingga surut banjir lebih lama di banding kampung lain nya lokasi di kp. Rawabamban, gg bulak komeng kelurahan jurumudi baru kecamatan benda",Pemerintah Kota Tangerang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
5,"Laporhendi perum plamongan hijau kota semarang, senin malam dini hari 09/11/20 banjir lagi & parah tinggi. 15 tahun lebih setiap hujan daerah kami selalubanjir. pompa polder tidak sebanding dgn debit air hujan. tolong bantu kami, kapan kami bisa terbebas dari banjir",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
6,"Assalamualaikum wr wb...
saya yuliana warga rt 08 rw 03 kelurahan bajak kecamatan teluk segara kota bengkulu ingin melaporkan bahwa di beberapa rumah warga termasuk rumah saya sering terjadi banjir akibat luapan air siring yang terjadi karena hujan deras,sehingga membuat rasa tidak nyaman , saya harap bapak atau ibu yang terhormat bisa segera menindak lanjuti kejadian ini ,sekian dan terimakasih wassalamualaikum wr wb...",Badan Penanggulangan Bencana Daerah Kota Bengkulu,  Penanggulangan Bencana
7,"Drainase di jalan setia budhi tepatnya simpang jalan nurul ikhlas mampet karena terjadi sedimentasi dan sudah lama tidak dibuang, apabila hari hujan dengan intensitas sedang selama 30 menit saja maka air akan masuk ke jalan nurul ikhlas dan masuk kedalam rumah. Minggu ini saja sudah tiga kali rumah kami kebanjiran.

Mohon perhatiannya

Terimakasih",Dinas Pekerjaan Umum dan Penataan Ruang Kota Pekanbaru,  Infrastruktur Jalan
8,Laporhendi perum plamongan hijau kota semarang sejak sabtu  malam 07/11/20 banjir parah tinggi. sampe minggu pagi dini hari 08/11/20 banjir masih tinggibelum surut2. pompa polder tidak mampu / tidak sebanding dgn debit air hujan. tolong dibantu dgn alternatif yg lain. mkasih,Dinas Pekerjaan Umum Kota Semarang,  Bendungan
