,report,unit
0,"Kami adalah korban kebakaran pusat pasar pajak tingkat berastagi. dengan ini mohon kejelasan dari pihak terkait yg ada di pemda kab. karo. yaitu masalah pembangunan atau penataan pusat pasar berastagi. karena sampai saat ini belum ada kejelasan sama sekali. kemudian kami melihat banyaknya pedagang yang kiosnya bisa dipakai berdagang pindah ke badan jalan tempat pedagang yg kiosnya tidak bisa ditempati ditambah pedagang liar juga yg tidak memiliki hak sama sekali ikut juga berdagang dengan mendapatkan lapak dari oknum yg tidak bertanggung jawab dengan sistem sewa mengatasnamakan instansi terkait. 
kemudian badan jalan yg seharusnya bisa dilewati kendaraan juga semangkin sempit. setiap hari ada saja pedagang yg ribut baik sesama pedagang maupun dgn oknum yg mengatasnamakan instansi pemerintah perihal sewa tempat. kami mohon untuk ditertibkan selain untuk kenyamanan usaha terlebih berastagi merupakan tempat tujuan wisata. betapa malunya kita apabila tempat usaha dan tempat wisata kita tidak tertata. disamping itu protokol kesehatan dalam hal mencegah covid 19 tidak sepenuhnya dijalankan dengan baik. apa kita harus menjadi korban covid 19 lebih banyak lagi. demikian kami sampaikan terimakasih.",Dinas Perindustrian dan Perdagangan
1,"Kepada yth. pihak instansi terkait, selama 7 tahun ini, pihak setempat kurang peduli atas keprihatinan atas anak saya yang (microsepallus) otak nya tidak berkembang sejak di rahim. hingga kini anak saya tidak bisa bicara n jalan (tidak normal/dipabelitas).saya mohon uluran tangannya... istri sudah mencoba daftar umkm tapi tidak dapat. padahal berharap sekali donasiny, sebab saya sudah tidak bekerja,di rumahkan sejak tanggal 31 bulan desember. saya masih ada tunggakan air pam 7 bulan, di karenakan uang nya untuk keperluan vitamin &obat anak saya tiap mingguny harus mempunyai 450.000. pinjaman saya dimana mana.padahal saya dl pernah bertugas dinas pemadam kebakaran & dinas bnpb dki selama 11 tahun mengabdi jadi tenaga honorer. sedih saya sama nasib saya sekarangalamat saya perumahan taman wisma asri blok e31 no.11 rt003 rw017 jl.sawo jajar 2 kelurahan teluk pucung kecamatan bekasi utara 082299418396.
mohon di tinjau & pehatian serta kepedulian nya dan saya mohon maaf dalam hal ini bila kurang etis. trima kasih",Dinas Sosial Kota Bekasi
2,"Pak selamat pagi ini saya td yg menyampaikan aspirasi di pancur batu waktu bapak menteri  kemenkumhan survey pembangunan lapas, kami mohon perhatianya kepada kepada masyarakatsetempat untum memberikan akses jalan mobil kedalam,  jl akses yg tembus kepasar hanya bisa dilalui sepeda motor dan penjalan kaki, bapak bisa survey langung jalanya, seandainya ada hal2 dilua kendali contoh kebakaran, sakit dll jika tdk ada akses mobil sgt menyulitkan masyarakat setempat, kami sgt memohon kepedulianya pak kepada kami, untuk dibeikan askes jalan mobil",Lembaga Pemasyarakatan Klas IIA Pancur Batu
3,"Kepada yth. 
menteri agraria dan tata ruang dr. sofyan a djalil, sh, ma, mald, 
dirjen pengendalian pemanfaatan ruang dan penguasaan tanah, 
direktorat pengendalian pemanfaatan ruang, 
direktorat penertiban pemanfaatan ruang, 
direktorat pengendalian dan pemantauan pertanahan, dan bp/ ibu segenap jajaran terkait,


saya ingin menyampaikan aduan saya berkenaan dengan program pemerintah pusat, bahwa pada tahun 2025 semua bidang tanah di indonesia harus bersertifikat. sementara program pemprov jateng, tahun 2023 seluruh bidang tanah di jateng harus bersertifikat dan untuk kota semarang bersama bpn kota semarang, tahun 2021 semua bidang tanah harus sudah bersertifikat (https://semarangkota.go.id/p/1589/wali_kota_semarang_serahkan_4.166_sertifikat_tanah_program_ptsl),

saya ingin menyampaikan bahwa banyak bangunan di rt ii/ rw ii kelurahan wonotingal, kecamatan candisari, kota semarang yang melanggar gsb dengan cara mendirikan bangunan di atas jalan lingkungan kami. saya yakin pada waktu mendirikan bangunan warga rt ii ini tidak memiliki imb (dan hal ini dibiarkan oleh opd terkait). tindakan warga rt ii ini sangat berbahayak bagi warga rt kami (rt iii/ rw ii kel. wonotingal, kec. candisari), karena di rt kami (rt iii) terdapat puluhan rumah kecil yang saling berdempetan dan telah berusia puluhan tahun, jika sewaktu-waktu terjadi bencana kebakaran karena korsleting, kebocoran gas/ suatu hal, pemadam kebakaran tidak akan dapat mengakses rt iii/ rw ii. sehingga dapat dipastikan akan jatuh korban banyak sekali dan menimbulkan kerugian materiil maupun non materiil yang luar biasa. 

selain itu penduduk rt kami cukup padat, sehingga jalan lingkungan yang sangat sempit tsb. sangat menganggu kenyamanan transportasi kami (warga rt iii), bahkan taksi online pun sudah enggan masuk ke rt kami, karena daerah rt kami dianggap tidak nyaman untuk dilalui mobil..wilayah rt kami jadi wilayah yang terisolasi dengan dunia luar.

saya sendiri sudah berulang kali menyampaikan hal ini, mulai dari rt, rw, lurah, hingga ke dinas tata ruang kota semarang, namun kami tidak pernah mendapat solusi, bahkan saya mendapati ternyata petugas pengawas bangunan di kecamatan candisari hanya ada 1 orang petugas saja (itupun masih merangkap mengawasi bangunan kecamatan tembalang, yang cakupan wilayahnya lebih luas lagi) dan saya melihat sendiri di gambar tata ruang sebenarnya lebar jalan lingkungan-nya seharusnya jauh lebih lebar dari jalan lingkungan kami yang sekarang.

pada kesempatan ini saya ingin mengetuk hati kecil bapak menteri agraria dan tata ruang, bapak dirjen dan bapak direktur direktorat terkait, karena nampaknya hanya bapak-bapak sekalian yang terhormat ini yang dapat membantu rakyat kecil (warga rt iii/ rw ii kelurahan wonotingal), bahkan saat ini warga rt ii semena-mena mendirikan bangunan di atas jalan lingkungan tsb. (hingga akses jalan hanya mampu dilalui satu mobil saja, karena mereka dengan semena-mena mendirikan bangunan di atas jalan lingkungan dari kedua belah sisi), saat ini mereka akan diberikan sertifikat gratis.

saya mohon saat diukur luas tanah, sekaligus mereka juga diberikan tindakan penertiban untuk memundurkan bangunan mereka.. agar hak asasi kami sebagai warga rt iii tidak terus dilanggar, seperti yang sudah terjadi selama ini. karena akses jalan lingkungan yang layak hanya jalan lingkungan tsb. saja..akses jalan lain kami lebih tidak layak lagi, karena hanya dapat dilalui satu sepeda motor saja.

saya percaya dengan hadirnya negara di permasalahan ini dengan cara menertibkan tindakan yang tidak berperikemanusiaan dan berwawasan pancasila ini secara tegas akan semakin menjadikan negara kita tercinta ini menjadi lebih baik lagi, rakyat akan melihat bahwa di negara ini hak asasi orang lain ternyata masih dihargai, dan hak warga negara lain (yang juga sama-sama membayar pajak pada pemerintah dari hasil kerja keras mereka) masih dihormati, serta pemerintah masih menjaga wibawa-nya karena menegakkan peraturan secara adil dan semua orang ternyata memang benar-benar setara di mata hukum.

terimakasih.",Direktorat Jenderal Pengendalian dan Penertiban Tanah dan Ruang
4,"Pemerintah instansi terkait, selama 7 tahun ini pihak setempat kurang peduli atas keprihatinan atas anak saya yang (microsepallus) otak nya tidak berkembang sejak di rahim. hingga kini anak saya tidak bisa bicara n jalan (tidak normal/dipabelitas).
saya mohon uluran tangannya... saya berharap sekali donasiny, sebab saya sudah tidak bekerja,di rumahkan sejak tanggal 31 bulan desember. saya masih ada tunggakan air pam 7 bulan, di karenakan uang nya untuk keperluan vitamin &obat anak saya tiap mingguny harus mempunyai 450.000. pinjaman saya dimana mana.padahal saya dl pernah bertugas dinas pemadam kebakaran & dinas bnpb dki selama 11 tahun mengabdi jadi tenaga honorer. sedih saya sama nasib saya sekarang
alamat saya perumahan taman wisma asri blok e31 no.11 rt003 rw017 jl.sawo jajar 2 kelurahan teluk pucung kecamatan bekasi utara 082299418396",Dinas Sosial Kota Bekasi
5,"Banyak ny pembeli bbm pertalit dan solar ke dalam drijen di daerah temanggung.  kemudian di jual lagi para pengepul ke pertamini di daerah sukorejo,kendal,batang,dan pekalongan,. hal ini bisa menyebabkan kelangkaan bbm jenis pertalit dan solar subsidi. mohon di tindak.   karna bisa menyebabkan kelangkaan dan bahaya kebakaran ,pengepul juga tanpa izin resmi.. 

mohon di tinndak secepat ny..",Contact Pertamina
6,"Assalamu'alaikum wr. WbKepada yang terhormat bapak mendagri dan seluruh jajarannya. Semoga bapak selalu dalam lindungan Allah SWT.Sungguh bahagia rasanya ketika kami mendengar bapak mendagri membacakan UUD terbaru damkar yang mengharuskan damkar berdiri sendiri atau mandiri. Pada hari itu HUT ke-101 damkar indonesia di Bantul. Akan tetapi, pada tahun ini kami masih bergabung dengan dinas lain yaitu satpol pp. Tidak ada rasa kami ingin menjengkali kemampuan dinas manapun namun kami merasa akan sangat profesional jikalau damkar berdiri mandiri. Karena anggarannya pun terfocus pada kegiatan damkar dan penyelematan serta peningkatan mutu pendidikan lanjutan tentang pemadam kebakaran. Penggabungan damkar dengan OPD lain yang kami rasakan sudah sangat tidak bisa lagi memfocuskan kegiatan damkar manakala setiap APBD maupun APBD-P harus berbagi dengan kegiatan yang bukan bahkan sama sekali tidak ada hubungannya dengan jiwa dan naluri seorang pemadam kebakaran, namun damkar tidak bisa berkutik karena hanya Bidang dalam satu OPD. Sekarang damkar terbantu dengan adanya anggaran DBH-DR yang mungkin akan stop pada suatu saat nanti.Kami berharap sekali Bapak. Pada tahun 2021 ini juga bertepatan pada bulan maret nanti damkar berusia 102 tahun. Kami memohon dengan segala kerendahan hati agar Bapak menekankan kembali kepada daerah tentang dinas damkar dan penyelamatan. Dan ini pun menjadi harapan seluruh damkar di indonesia. Terima kasih bapak. Sudi kiranya Bapak membaca email saya ini.Tertanda, Muhammad saherman.Dari kabupaten pelalawan, Riau",Direktorat Manajemen Penanggulangan Bencana dan Kebakaran
7,"Kepada yth :
inspektorat jenderal kementerian atr/bpn
di-
tempat

dengan hormat,

kami selaku kuasa hukum dari klien saya yang bernama :
nurlaila rado, tempat tanggal lahir, piru, 23 oktober
1987, agama islam, tidak bekerja, alamat, rt.002, rw.010, desa batu merah, kecamatan sirimau,
kota ambon, provinsi maluku.
kesemuanya adalah advokat yang berkantor pada “kantor hukum advokat, auditor hukum, mediator jhon michaele berhitu, s.h., m.h, cla., c.me & partners yang beralamat kantor di rumah tiga, rt. 003, rw.004, negeri rumah tiga, kecamatan teluk ambon, kota ambon, provinsi maluku. berdasarkan surat kuasa khusus dengan nomor : 46/ s.k. adv _jmb & partners /xii/2020, tertanggal 20 desember 2020, terlampir.
selanjutnya disebut sebagai pengadu/pelapor

dengan ini hendak melaporkan :
petugas bpn kota ambon yang melakukan pengukuran.
selanjutnya disebut sebagai pihak terlapor

adapun duduk perkaranya sebagai berikut :
1. bahwa klien kami adalah sebagai pemilik sah atas bidang tanah yang terletak di rt.002, rw.010, desa batu merah, kecamatan sirimau, kota ambon, provinsi maluku.berdasarkan sertifikat shm nomor :5461 yang telah dipisahkan dari sertifikat induk milik cornelia sitanala/hitiahubessy nomor shm 5419 berdasarkan akta jual beli yang dilakukan dihadapan notaris dan telah dilakukan balik nama pada sertifikat induk tersebut.
2. bahwa pada  bulan april 2020 telah terjadi kebakaran besar yang mengakibatkan beberapa rumah
warga terbakar termasuk rumah milik klien kami pada objek lokasi pengukuran, sehingga terhadap objek klien kami, klien kami tidak menempati karena terbakar;
3. bahwa tepatnya pada tanggal 19 bulan desember 2020 seseorang yang bernama cia jogja/maba ibu dari vivi maba mengklaim dirinya sebagai pemilik di atas lahan objek tersebut yang sebagian sudah termasuk hak milik klien dengan cara menyuruh seseorang yang bernama mas yang tak lain adalah menantu dari cia jogja/maba membongkar/merusak bekas tembok yang menjadi tanda batas tanah milik klien.
4. bahwa klien mengetahui peristiwa tersebut sebagaimana diuraikan pada poin 2 diatas dari seseorang tetangga klien melalui komunikasi telpon, kemudian klien mendatangi objek pada
saat itu juga dan mendapati mas sedang membongkar tembok/dinding milik klien, kemudian
klien menegur/melarang yang bersangkutan untuk menghentikan pembongkaran namun
dijawab oleh mas bahwa ia disuruh oleh pemilik yang tak lain adalah mertuanya. setelah itu
klien mendatngi cia jogja untuk menanyakan perihal yang sama namun kembali di jawab
bahwa tanah tersebut miliknya.
5. bahwa setelah melakukan pencegahan atas tindakan pengrusakan tanda batas milik klien namun
tidak diindahkan oleh mas dan mertuanya, sehari setelahnya tepat tanggal 20 desember 2020
oknum yang bernama mas tetap melanjutkan pekerjaan atas suruhan mertuanya dengan cara
membangun tembok/dinding beton diatas sebagian tanah milik klien.
6. bahwa atas tindakan penyerobotan yang dilakukan dengan cara membongkar / merusak tembok
tanda batas milik klien oleh mas atas suruhan mertuanya cia jogja maka kemudian klien
mengadukan masalah tersebut kepada pemerintah desa batu merah.
7. bahwa pada tanggal 21 desember 2020 klien mengadu ke pemerintah desa batu merah terkait
tindakan penyerobotan yang dilakukan oleh mas dan cia jogja.
8. bahwa setelah diterimanya laporan klien oleh pemerintah desa batu merah maka kemudian
pemerintah batu merah memberikan surat pemberitahuan kepada cia jogja yang isinya
antara lain menghentikan kegiatan apapun diatas objek sengketa sebelum adanya penyelesaian
secara kekeluargan yang akan dimediasi oleh pemerintah desa batu merah.
9. bahwa pada tanggal 05 januari 2021 pemerintah desa batu merah mengundang kedua belah
pihak yakni klien dan cia jogja ke kantor desa batu merah guna proses mediasi, namun
pada saat itu cia jogja sedang berada di luar daerah dan akan kembali pada tanggal 15
januari 2020, oleh karena itu pemerintah desa batu merah akan mengagendakan kembali
pertemuan mediasi antara kedua belah pihak setelah kembalinya cia jogja dari luar daerah.
10. bahwa sebelum diadakan pertemuan kembali antara kedua belah pihak untuk proses mediasi
oleh pemerintah desa batu merah, pihak cia jogja telah mengajukan permohonan pendaftaran tanah ke bpn, dimana telah dilakukan pengukuran pada hari senin tanggal 01 februari 2021 oleh petugas ukur dari bpn.
11. bahwa klien mendapat informasi dari pemerintah desa batu merah tentang akan dilakukan pengukuran diatas objek sengketa oleh bpn
maka klien mendatangi lokasi objek sengketa dengan membawa surat sertifikat hak milik dan
pada saat sedang terjadi pengukuran oleh petugas bpn, klien mengajukan keberatan secara lisan
dengan menunjukan sertifikat milik klien kami serta menjelaskan tentang tindakan penyerobotan
yang dilakukan pihak cia jogja.
12. bahwa menurut kami, pengukuran yang dilakukan oleh petugas dari bpn kota ambon pada hari
senin, tanggal 01 februari 2021 cacat prosedural dan tidak sesuai dengan mekanisme dan tata
cara sebagimana diatur dalam peraturan pemerintah no 24 tahun 1997 tentang pendaftaran.
mengingat objek tersebut sedang dalam sengketa dan atau adanya keberatan dari klien kami
selaku pemilik objek tersebut .
13. bahwa yang bertindak sebagai pemohon dalam pengukuran objek tanah yang sedang dalam
sengketa tersebut bernama vivi maba yang adalah anak dari cia jogja sedangkan pada sertifikat yang dipegang oleh petugas bpn kota ambon adalah sertifikat induk yang dimana klien kami telah membeli dengan dilakukan akta jual beli dihadapan notaris dan telah dilakukan balik nama terhadap sertfikat tersebut.
14. bahwa terhadap laporan yang kami sampaikan tersebut kami meminta
kepada inspektorat jenderal kementerian atr/bpn agar meakukan pemeriksaan terhadap oknum petugas bpn kota ambon serta membatalkan adanya pengukuran dan atau
penerbitan sertifikat tersebut dengan alasan :
-petugas bpn kota ambon telah melakukan pengukuran diatas objek yang telah mempunyai sertifikt kepemilikan hak milik orang lain/klien kami
-pada saat pengukuran petugas bpn berpatokan kepada sertifikat induk yang telah dijual atas
nama oranglain dan pihak yang mengajukan permohonan pengkuran tidak mempunyai dasar kepemilikan (akta jual beli) dihapan notaris.
-terlapor mengklaim membeli tanah dari pemilik sertifikat induk, tapi akta jual beli
dihadapan notaris tidak ada
15. bahwa terhadap point 14 dimaksud, kiranya menjadi perhatian serius, jangan sampai seseorang
yang mengaku mempunyai kepemilikan hak milik datang dengan menunjukan sertifikat atas
nama orang lain tanpa ada dasar ajb dan proses pengukuran dapat dilakukan
16. bahwa kami menduga adanya kepentingan-kepentingan tertentu yang dilakukan oleh terlapor
sehingga petugas bpn kota ambon apat melakukan pengukuran tanpa adanya dasar
kepemilikan yang jelas
17. bahwa atas penyampaian keberatan ini, kami meminta kerjasama yang baik dari inspektorat jenderal kementerian atr/bpn untuk menyikapi keberatan dimaksud, kami sebagai kuasa hukum
klien kami sampaikan terima kasih.

hormat kami
(kuasa hukum)
jhon michaele berhitu, sh., m.h., cla., c.me
mohamad isa siloinjanan, s.h.
muhamad gurium, s.h",Inspektorat Jenderal Kementerian ATR/BPN
8,"Assalammualaikum wr wb.
Yth lapor.go.id
Saya ingin menyampaikan saran kepada lapor.go.id agar lebih baik. Berikut daftarnya:

1. Lapor.go.id sebagai satu-satunya wadah pengaduan dan penyampaian aspirasi dari seluruh instansi yang berada di bawah naungan pemerintah mulai dari kepolisian, pemadam kebakaran, satpol pp, pln, pam, dan lainnya. Hal ini dimaksudkan agar masyarakat hanya tahu satu tempat untuk melapor atau menyampaikan aspirasi hanya menggunakan lapor.go.id

2. Melakukan uji keamanan terhadap sistem lapor.go.id atau disebut ""Penetration Testing"", hal ini dimaksudkan agar sistem dapat mengetahui lebih dahulu kelemahan yang ada sebelum ada yang mengeksploitasi kelemahan tersebut

3. Saya menemukan bug yaitu, pada saat kita mencari sebuah laporan, maka akan muncul beberapa laporan yang sesuai dengan kata kunci pencarian. Dan disetiap laporan tersebut ada tombol ""dukung"", ketika saya mengetik tombol ""dukung"" tersebut seluruh laporan yang ada dengan kata kunci yang sejenis memiliki angka dukungan yang sama.

4. Lapor.go.id harus menghormati privasi pelapor dengan tidak mewajibkan hal-hal yang berkaitan erat dengan informasi pengguna seperti NIK, no telp, asal pelapor, dan lainnya saat pembuatan akun maupun memperbarui biodata yang ada.

5. Laporan yang sudah ada tidak dapat dilihat oleh ""guest"", atau orang yang tidak login, tentunya hal ini sangat aneh, seharusnya ""guest"" pun dapat melihat laporan yang ada.

6. Lapor.go.id belum diketahui oleh masyarakat luas, bahkan saya pun sebelumnya tidak mengetahui bahwasanya ada lapor.go.id, sehingga saya harap lapor.go.id dapat mengiklankan di televisi agar diketahui masyarakat umum.

Demikian saran-saran yang dapat saya sampaikan, semoga saran ini dapat direalisasikan seluruhnya. Terus maju lapor.go.id

Terima kasih
Wassalammualaikum wr wb.",Kedeputian Bidang Pelayanan Publik Kementerian PANRB
9,"Penghuni rw 05 kesulitan untuk akses keluar masuk ke tempat tinggal dikarenakan jalan akses utama masuk (jalan mangga raya, jalan durian raya dan jalan kedondong raya) diwilayah rw 06 & 07 diportal 24 jam (tidak diperbolehkan dibuka)
hal ini juga menyulitkan bila dibutuhkan pemadam kebakaran yang harus memutar dan melewati jalan sempit untuk menangani kebakaran di wilayah rw 05
dalam kondisi darurat untuk menuju arah rsud  bekasi atau rs mitra barat harus memutar dibawah flyover kranji",Kecamatan Bekasi Barat
0,Min tolong loloske post ekeluhan untuk para pedagang korban kebakaran pasar weleri ingin menyampaikan uneg2 ....untuk pembangunan relokasi pasar weleri kapan terlaksananya sampai saat ini dari pihak pemerintah dan pihak pengurus pasar gak ada pergerakan sama sekali mala dengar depan stasiun weleri mau di jadikan lahan pasar dan di pungut biaya bisa di bilang lumayan besar....... disini para pedagang pasar weleri adalah korban kok mala sekarang malah di jadikan korban sasaran untuk kepentingan oknum2 tertentu pedagang korban kebakaran bukannya di kasih bantuan malah cenderung di jadikan proyek....... tolong untuk pemerintah kabupaten kendal cepatlah bergerak ambil keputusan untuk para korban kebakaran janganlah oknum2 tsb menggrogoti para korban kebakaran......... dan untuk pegawai pasar tolong gerak dan atasi masalah ini kami sudah capek kami sudah habis2n modal dan kami disini mala di manfaatinsekali lagi untuk pemerintah kabupaten kendal tolong segera terjun dan ambil tindakan apabila gak percaya silahkan aja di croscheck langsungmakasih,Dinas Perdagangan Kabupaten Kabupaten Kendal
1,"Kronologi kejadian : saya pelapor sedang melakukan pengisian bbm jenis pertalite untuk kendaraan pribadi saya. petugas penjaga pompa meninggalkan nozel setelah melakukan open nozel.. selang benberapa saat saya pelapor mencium bau bbm setelah saya cek, ternyata bbm yang di isikan ke tangki mobil saya minyaknya tumpah berserakan karena nozel tidak otomatis off. saya secara replek turun dari mobil dan mencabut menghentikan nozel minyak yang sudah berserakan dan menutup tangki mobil spontan saya juga memangil petugas pompa yang bersangkutan terakhir saya cek petugas itu atas nama tasya utami, tanpa melakukan himbauan atau pun sejenis klarifikasi ataupun instuksi apapun terhadap saya, malah cendrung meminta tagihan langsung terhadap saya, atas inisaiatif sendiri saya lantas memindahkan mobil ke area aman/parkir. saya menyadari hal ini terjadi atas kelalaian pekerja, saya mintak kepada pekerja tersebut agar supervisornya atas nama hendra efendi datang, dengan beberapa argumantasi kami terlibat perdebatan yang intinya hampir saja tidak mau mengakui kesalahan (tidak memakai masker, menggunakan telepon/menelpon di area pompa spbu)  sampai akhirnya saya mintak agar atasanya datang karena yang bersangkutan relatif tidak kooperlatif. akhirnya saya pun tidak mau berpanjang cerita dan perdebatan dengan atasan spv tersebut adalah pengawas an. erdianto lalu memutuskan memotong pembayaran sebesar 5 liter dari jumlah liter yang keluar dari pompa yang tumpah berserakan tersebut. sebenarnya kerugian saya bukan hanya matrial tapi inmaterial yang pasti petugas telah melanggar sop k3 yang akibatnya sangat membahayakan dapat memicu musibah kebakaran. walaupun demikian tatap saya akan jadikan ini sebagai catatan untuk spbu ini. mohon agar menjadi perhatian serius pihak pertamina. terima kasih


spbu ini kode nya adalah : spbu 11.251.502 yang beralamat di simpang dprd sumbar kota padang - sumatera barat. dokumentasi/foto saya ambil ditempat yang aman dan atas persetujuan kedua orang yang bersangkutan tersebut.",Contact Pertamina
2,"Tolong tegakkan keadilan uu cipta kerja, pemilik toko membahayakan warga sekitar karena rentan terjadi kebakaran dan merembet ke sekitar, tolong di bongkar sering membakar sampah di pemukiman.

https://www.google.com/maps/place/toko+sopandi/@-6.9909437,107.7021892,17z/data=!3m1!4b1!4m5!3m4!1s0x2e68c3ac841a1459:0x3a7f8f4ed4d6836!8m2!3d-6.9909437!4d107.7043779

(2) dalam penyelenggaraan bangunan gedung, pemilik dan/atau pengguna bangunan gedung mempunyai kewajiban:
a. memanfaatkan bangunan gedung sesuai dengan fungsinya;
b. memelihara dan/atau merawat bangunan gedung secara berkala;
c. melengkapi pedoman/petunjuk pelaksanaan pemanfaatan dan pemeliharaan bangunan gedung;
d. melaksanakan pemeriksaan secara berkala atas kelaikan fungsi bangunan gedung;
e. memperbaiki bangunan gedung yang telah ditetapkan tidak laik fungsi; dan
f. membongkar bangunan gedung dalam hal:
1. telah ditetapkan tidak laik fungsi dan tidak dapat diperbaiki;
2. berpotensi menimbulkan bahaya dalam pemanfaatannya;
3. tidak memiliki persetujuan bangunan gedung; atau 
4. ditemukan ketidaksesuaian antara pelaksanaan dengan rencana teknis bangunan gedung yang tercantum dalam persetujuan saat dilakukan inspeksi bangunan gedung.

pasal 46
(1) setiap pemilik dan/atau pengguna bangunan gedung yang tidak memenuhi ketentuan dalam undangundang ini diancam dengan pidana penjara paling lama 3 (tiga) tahun atau denda paling banyak 10% (sepuluh per seratus) dari nilai bangunan jika karenanya mengakibatkan kerugian harta benda orang lain. 
(2) setiap pemilik dan/atau pengguna bangunan gedung yang tidak memenuhi ketentuan dalam undangundang ini diancam dengan pidana penjara paling lama 4 (empat) tahun atau denda paling banyak 15% (lima belas per seratus) dari nilai bangunan gedung jika karenanya mengakibatkan kecelakaan bagi orang lain yang mengakibatkan cacat seumur hidup.  (3) setiap pemilik dan/atau pengguna bangunan gedung yang tidak memenuhi ketentuan dalam undangundang ini diancam dengan pidana penjara paling lama 5 (lima) tahun dan denda paling banyak 20/100 (dua puluh per seratus) dari nilai bangunan gedung jika karenanya  mengakibatkan hilangnya nyawa orang lain.(4) dalam proses peradilan atas tindakan sebagaimana dimaksud pada ayat (1), ayat (2), dan ayat (3), hakim memperhatikan pertimbangan dari profesi ahli. (5) ketentuan lebih lanjut mengenai kriteria, jenis, besaran dan tata cara pengenaan sanksi sebagaimana dimaksud dalam ayat (1), ayat (2), dan ayat (3) diatur dalam peraturan pemerintah.",Direktorat Jenderal Cipta Karya
3,"Pengirim Maira Zulfa <mairazulfa8@gmail.com>Tanggal Minggu 22 november 2020 09:39Selamat pagi Bapak/Ibu ditempat, melalui pesan email ini saya mau menanyakan mslah bantuan musibah kebakaran yg terjadi kurang lbih 4 bulan yg lalu, yg mengkibatkn 9 KK kehilangan tempat tinggal, sampai saat ini belum ad menerima bantuan dana pembangunan. Sedangkan pd saat itu PakGub ad mnjanjikan mslah itu. Dan saya juga mau bertanya apkah ada ketua RT.006 RW. 008 ada mengajukan  proposal masalah dana bantuan tersebut??Mohon dijawab, sebelum dan sesudahnya saya ucapkan terimakasih.",Dinas Sosial Kota Palangka Raya
4,"Dengan hormat,

Bersama ini kami sampaikan atas nama warga jln. By pass ngurah rai komp. Pln sektor bali,  br/lingk pesanggaran – denpasar selatan bermaksud melaporkan adanya pelanggaran dalam pembangunan rumah kost milik :

            nama              : ir. Johny hutabarat

            pekerjaan       : pensiunan bumn

            alamat            : jln. By pass ngurah rai komp. Pln sektor bali no 1 i br/lingk pesanggaran – denpasar selatan

Yang meliputi :

1.    pembangunan rumah kost tersebut telah dibangun sejak november 2019.

2.    pembangunan tersebut tidak memiliki imb dan hingga saat ini warga sekitar belum pernah dimintai surat penyanding maupun surat keterangan sosialisasi.

3.    pembangunan rumah kost tersebut tidak berstandar bangunan untuk tempat tinggal karena :

-       pada tiap kamar tidak dipasang jendela baik bagian depan maupun belakang

-       pintu kamar dipasang pintu kaca

-    model bangunan kamar kost seperti kamar hotel (pintu masuk bagian depan sebelah kanan adalah kamar mandi, sebelah kiri adalah dapur, bagian belakang tidak ada jendela dan langsung dijadikan tempat tidur).

-       bangunan pertama kost tersebut (10 kamar) terlihat mepet dengan bangunan pabrik bali foam di sebelahnya, hal ini kami khawatirkan bila terjadi musibah kebakaran sehingga dapat merembet ke bangunan pabrik dan rumah warga lainnya juga.

4.    informasi dari warga bahwa rencana ybs akan membangun 24 kamar dengan luas tanah +- 4 are.

5.    dalam proses pembangunan rumah kost telah banyak melakukan kerugian lingkungan warga karena tidak meminta ijin atas penempatan barang-barang bangunan tersebut tanpa memperhatikan lingkungan sekitar sehingga tetangga merasa tidak nyaman dan terganggu pada aktifitas sehari-hari.

6.    telah melakukan pemasangan beton pada batas tembok pagar rumah milik bapak andre henri yang awalnya pembangunan tembok itu telah disepakati bersama (bapak andre dan bapak johny) pada tahun 1980-an dan hal pemasangan beton tersebut telah menimpa/menumpuk bata di atas pagar bersama (pemasangan beton bengkok di atas tembok tersebut) tanpa meminta izin dan kami anggap tembok itu adalah tembok netral.

7.    perihal pelanggaran batas tembok tersebut, telah kami laporkan ke dinas pekerjaan umum dan penata ruang kota denpasar bahwa terakhir bapak johny hutabarat telah menerima sp 3 pada tanggal 12 oktober 2020 dan pada tanggal 13 oktober 2020 ybs telah didatangi petugas satpol pp dengan sp 1.

8. Mengenai permasalahan ini telah diketahui oleh kepala lingkungan br. Pesanggaran, denpasar selatan dan kedua belah pihak (bpk andre & bpk johny) pernah dipanggil untuk dimintai keterangan akan masalah ini dan disarankan untuk segera memproses pengurusan imb. Namun hingga saat ini bapak johny belum pernah sama sekali mengurus imb-nya (hal ini kami ketahui dari dinas pmptsp bahwa pada sistem databased belum terdaftar)

9. Mulai tanggal 16 november 2020 hingga saat ini, bapak johny telah melanjutkan kembali bangunan kedua kost-kostan nya dan sudah mulai meninggikan bangunan dan melakukan cor-cor an beton bangunan-nya.

Demikian surat pengaduan ini kami sampaikan. Kami mohon atas nama warga sekitar ingin meminta untuk segera dilakukan tindakan tegas dan kami semua menunggu kelanjutan sp 1 satpol pp tanggal 13 oktober 2020. Adapun penjelasan dari temuan-temuan diatas terlampir foto-foto bangunan tersebut. Atas perhatian dan partisipasi bapak kami ucapkan terima kasih.

Contact person : ibu ayu veninda (0812 8198 0869)

Bapak andre (0851 0089 8820)",Pemerintah Kota Denpasar
